Feature,Importance
omavalitsus_kategooria_Tallinn,0.32378006
age_category_Very_New,0.21199721
asum_Õismäe,0.05632263
kohvikud_500m,0.027266234
vanus,0.023539035
location_score,0.02231013
asum_Kadriorg,0.020093732
asum_Pirita,0.014728764
y,0.013881166
age_category_New,0.011934659
type_condition_Korter_Uus,0.0072178626
asum_Rääma,0.0062990957
asum_Karlova,0.0062493407
type_condition_Korter_Vajab remonti,0.0058475006
asum_Sõjamäe,0.0058225654
omavalitsus_kategooria_Pärnu linn,0.0053505185
seisukord_kategooria_Vajab remonti,0.005099628
seisukord_kategooria_Uus,0.0050079864
asum_Laiaküla,0.0047351527
asum_Maarjamõisa,0.0047224946
asum_Eeslinn,0.00447173
asum_Merivälja,0.0042822054
asum_Tõnismäe,0.004197038
age_category_Old,0.0041003167
objekti tüüp_Maja,0.0038731988
energiaklass_C,0.0037415219
restod_500m,0.0037037781
asum_Kloostrimetsa,0.003685268
asum_Kakumäe,0.0034846622
distance_from_center vanus,0.0034513813
asum_Kesklinna,0.0034425706
korruseid,0.0033545324
objekti tüüp_Korter,0.0033060596
asum_Ülejõe,0.003244716
asum_Loopealse,0.003160717
asum_Tiskre,0.0031133548
asum_Kompassi,0.0030355172
age_category_Very_Old,0.0030316138
asum_Tähtvere,0.002909969
asum_Südalinn,0.0027913752
asum_Mai,0.0027671074
asum_Mähe,0.0027492507
asum_Vanalinn,0.0024411934
asum_Tondi,0.0023915458
Architectural_Era_1958–1972,0.0023701075
x,0.0023381894
distance_from_center,0.0022520656
type_condition_Maja_Heas korras,0.0022475205
Architectural_Era_1920–1944,0.0021878444
asum_Veerenni,0.0020573144
vanus total_amenities,0.0020499364
asum_Liiva,0.0019879518
distance_from_center total_amenities,0.0019065733
asum_Tammiste,0.0018895864
asum_Keldrimäe,0.0018873428
asum_Kitseküla,0.0018695116
amenity_density,0.0018478775
asum_Raua,0.0018469444
ehitusaasta_orig,0.0017715356
poed_500m,0.001737223
energy_score,0.0016598125
asum_Lilleküla,0.0016295518
asum_Nõmme,0.0015624228
asum_Kivimäe,0.0015254037
asum_Paljassaare,0.001521565
asum_Sadama,0.0015073268
type_condition_Majaosa_Vajab remonti,0.0014743548
pindala_numeric total_amenities,0.0014640463
asum_Kvissentali,0.0014594564
asum_Sitsi,0.001458782
size_category_Exceptional,0.0014387988
size_category_Large,0.0014273343
asum_Kalamaja,0.0013994647
asum_Mustakivi,0.0013889647
asum_Torupilli,0.0013871458
asum_Tammelinna,0.0013664411
asum_Järve,0.0013470621
Architectural_Era_1973–1991,0.0013454449
pindala_numeric distance_from_center,0.0012766108
materjal_kategooria_Puit,0.0012569955
asum_Vaksali,0.0012356673
asum_Tondiraba,0.0012289217
asum_Ränilinna,0.0012068673
Architectural_Era_2005-2008,0.0011664159
asum_Kose,0.0011556825
asum_Mustamäe,0.0011473375
area_per_room,0.0011420981
size_category_Small,0.0011415796
type_condition_Majaosa_Heas korras,0.0011163519
is_middle_floor,0.0010854669
size_category_Very_Large,0.0010830802
asum_Sikupilli,0.00108256
type_condition_Korter_Heas korras,0.0010809428
pindala_numeric,0.0010732315
Architectural_Era_1945–1957,0.0010280902
Architectural_Era_2021-2025,0.0010189709
asum_Kopli,0.0010086533
type_condition_Maja_Keskmises seisukorras,0.0010075014
asum_Kassisaba,0.0009984014
pindala_numeric vanus,0.0009884089
type_condition_Maja_Uus,0.0009710291
asum_Juhkentali,0.0009663057
asum_Ropka,0.0009470914
katus_kategooria_Plekkkatus,0.00093458174
tube,0.0009292361
asum_Kelmiküla,0.0009277335
asum_Karjamaa,0.0009074957
asum_Priisle,0.00088747503
asum_Supilinna,0.0008820056
asum_Uus Maailm,0.0008767566
asum_Seli,0.00086613407
age_category_Medium,0.00084581116
total_amenities,0.0008446288
asum_Pelguranna,0.0008384956
